Protein1,Protein2,Context
A0A096LP55,Q9UDW1,poor
A0A0B4J2A2,P62937,poor
A0A1B0GUS4,P51813,poor
A0A1B0GUS4,Q9UHK0,poor
A0A1W2PP81,A8MTZ0,poor
A0A1W2PP81,O75864,poor
A0A1W2PPE2,A8MTZ0,poor
A0A1W2PPE2,O75864,poor
A0A1W2PPH5,A8MTZ0,poor
A0A1W2PPH5,O75864,poor
A0A1W2PR64,A8MTZ0,poor
A0A1W2PR64,O75864,poor
A0A1W2PRV1,A8MTZ0,poor
A0A1W2PRV1,O75864,poor
A0A2R8Y4L2,O14979,poor
A0A2R8Y4L2,O43390,poor
A0A2R8Y4L2,O60506,poor
A0A2R8Y4L2,O60814,poor
A0A2R8Y4L2,P06899,poor
A0A2R8Y4L2,P07910,poor
A0A2R8Y4L2,P22626,rich
A0A2R8Y4L2,P23246,poor
A0A2R8Y4L2,P37802,poor
A0A2R8Y4L2,P42677,poor
A0A2R8Y4L2,P46013,poor
A0A2R8Y4L2,P57053,poor
A0A2R8Y4L2,P61978,poor
A0A2R8Y4L2,P62081,poor
A0A2R8Y4L2,P68431,poor
A0A2R8Y4L2,P84243,poor
A0A2R8Y4L2,Q00839,poor
A0A2R8Y4L2,Q13185,poor
A0A2R8Y4L2,Q14103,poor
A0A2R8Y4L2,Q15181,poor
A0A2R8Y4L2,Q15233,poor
A0A2R8Y4L2,Q16695,poor
A0A2R8Y4L2,Q5TEC6,poor
A0A2R8Y4L2,Q6NXT2,poor
A0A2R8Y4L2,Q6Y7W6,poor
A0A2R8Y4L2,Q71DI3,poor
A0A2R8Y4L2,Q71RC2,poor
A0A2R8Y4L2,Q96HP0,poor
A0A2R8Y4L2,Q9BY77,poor
A0A2R8Y619,O00479,rich
A0A2R8Y619,O15347,rich
A0A2R8Y619,O60264,poor
A0A2R8Y619,O60814,poor
A0A2R8Y619,O75367,rich
A0A2R8Y619,O75475,rich
A0A2R8Y619,P02545,poor
A0A2R8Y619,P04908,poor
A0A2R8Y619,P05114,poor
A0A2R8Y619,P05204,rich
A0A2R8Y619,P06899,poor
A0A2R8Y619,P09429,rich
A0A2R8Y619,P09874,poor
A0A2R8Y619,P0C0S5,poor
A0A2R8Y619,P0C0S8,rich
A0A2R8Y619,P0CG47,rich
A0A2R8Y619,P0CG48,rich
A0A2R8Y619,P10412,rich
A0A2R8Y619,P16104,rich
A0A2R8Y619,P16401,rich
A0A2R8Y619,P16402,rich
A0A2R8Y619,P16403,rich
A0A2R8Y619,P17096,poor
A0A2R8Y619,P20671,rich
A0A2R8Y619,P26358,poor
A0A2R8Y619,P26583,rich
A0A2R8Y619,P35251,poor
A0A2R8Y619,P57053,poor
A0A2R8Y619,P60709,poor
A0A2R8Y619,P62805,rich
A0A2R8Y619,P62826,poor
A0A2R8Y619,P62937,poor
A0A2R8Y619,P62979,rich
A0A2R8Y619,P62987,rich
A0A2R8Y619,P63261,poor
A0A2R8Y619,P68032,poor
A0A2R8Y619,P68133,poor
A0A2R8Y619,P68431,rich
A0A2R8Y619,P84243,rich
A0A2R8Y619,Q02539,poor
A0A2R8Y619,Q12802,poor
A0A2R8Y619,Q13151,poor
A0A2R8Y619,Q13185,poor
A0A2R8Y619,Q13191,poor
A0A2R8Y619,Q14185,poor
A0A2R8Y619,Q14676,poor
A0A2R8Y619,Q14764,poor
A0A2R8Y619,Q14839,poor
A0A2R8Y619,Q14980,poor
A0A2R8Y619,Q15050,poor
A0A2R8Y619,Q15651,rich
A0A2R8Y619,Q15843,poor
A0A2R8Y619,Q15906,poor
A0A2R8Y619,Q16695,rich
A0A2R8Y619,Q16777,poor
A0A2R8Y619,Q53EL6,poor
A0A2R8Y619,Q5SSJ5,poor
A0A2R8Y619,Q5TEC6,rich
A0A2R8Y619,Q641Q2,poor
A0A2R8Y619,Q6FI13,rich
A0A2R8Y619,Q6NXT2,rich
A0A2R8Y619,Q71DI3,rich
A0A2R8Y619,Q71UI9,poor
A0A2R8Y619,Q7L7L0,poor
A0A2R8Y619,Q7Z4V5,poor
A0A2R8Y619,Q8IUE6,rich
A0A2R8Y619,Q92922,poor
A0A2R8Y619,Q93077,poor
A0A2R8Y619,Q96BJ3,poor
A0A2R8Y619,Q96KK5,rich
A0A2R8Y619,Q96ME7,poor
A0A2R8Y619,Q96P70,poor
A0A2R8Y619,Q96PU4,poor
A0A2R8Y619,Q96QV6,poor
A0A2R8Y619,Q96T88,poor
A0A2R8Y619,Q99878,poor
A0A2R8Y619,Q9P0M6,poor
A0A2R8Y619,Q9P258,poor
A0A2R8Y619,Q9UIG0,poor
A0A2R8Y619,Q9UPT8,poor
A0A2R8Y619,Q9Y2K7,poor
A0A2R8Y619,Q9Y6F1,poor
A0AUZ9,P29590,poor
A0AVI2,P16401,poor
A0AVK6,Q9BTM1,poor
A0AVT1,P0CG47,poor
A0AVT1,P0CG48,poor
A0AVT1,P62979,poor
A0AVT1,P62987,poor
A0FGR8,P14618,poor
A0FGR8,Q9BSJ8,poor
A0FGR9,P40926,poor
A1YPR0,P09661,poor
A2A3N6,P51665,poor
A2AJT9,Q9UM00,poor
A2RU48,P10809,poor
A2RUR9,P05787,poor
A4D1E9,P06733,poor
A4FU49,Q96CU9,poor
A4FU69,P31946,poor
A4FU69,P60866,poor
A4FU69,P63104,poor
A4UGR9,P25490,poor
A4UGR9,P62318,poor
A4UGR9,P63241,poor
A4UGR9,P68431,poor
A4UGR9,P84243,poor
A4UGR9,Q16695,poor
A4UGR9,Q71DI3,poor
A4UGR9,Q9GZV4,poor
A4UGR9,Q9UGI8,poor
A5A3E0,P60709,poor
A5A3E0,P62736,poor
A5A3E0,P63261,poor
A5A3E0,P63267,poor
A5A3E0,P63313,poor
A5A3E0,P68032,poor
