"","Protein1","Protein2","Gene1","Gene2","Context","StringScore","CC","MF","BP"
"1","A0A096LP55","Q9UDW1","UQCRHL","UQCR10","poor",991,1,0,1
"2","A0A0B4J2A2","P62937","PPIAL4C","PPIA","poor",0,0.622,0.558,0.317
"3","A0A1B0GUS4","P51813","UBE2L5","BMX","poor",0,0.357,0.493,0.213
"4","A0A1B0GUS4","Q9UHK0","UBE2L5","NUFIP1","poor",0,0.599,0.323,0.169
"5","A0A1W2PP81","A8MTZ0","TAF11L5","BBIP1","poor",0,0,0,0
"6","A0A1W2PP81","O75864","TAF11L5","PPP1R37","poor",0,0,0,0
"7","A0A1W2PPE2","A8MTZ0","TAF11L4","BBIP1","poor",0,0.237,0.657,0.062
"8","A0A1W2PPE2","O75864","TAF11L4","PPP1R37","poor",0,0,0.411,0
"9","A0A1W2PPH5","A8MTZ0","TAF11L13","BBIP1","poor",0,0.237,0.657,0.062
"10","A0A1W2PPH5","O75864","TAF11L13","PPP1R37","poor",0,0,0.411,0
"11","A0A1W2PR64","A8MTZ0","TAF11L9","BBIP1","poor",0,0.237,0.657,0.062
"12","A0A1W2PR64","O75864","TAF11L9","PPP1R37","poor",0,0,0.411,0
"13","A0A1W2PRV1","A8MTZ0","TAF11L3","BBIP1","poor",0,0.237,0.657,0.062
"14","A0A1W2PRV1","O75864","TAF11L3","PPP1R37","poor",0,0,0.411,0
"15","A0A2R8Y4L2","O14979","HNRNPA1L3","HNRNPDL","poor",0,0.409,0.741,0.264
"16","A0A2R8Y4L2","O43390","HNRNPA1L3","HNRNPR","poor",0,1,0.848,1
"17","A0A2R8Y4L2","O60506","HNRNPA1L3","SYNCRIP","poor",0,1,0.741,1
"18","A0A2R8Y4L2","O60814","HNRNPA1L3","H2BC12","poor",0,0.58,0.514,0.111
"19","A0A2R8Y4L2","P06899","HNRNPA1L3","H2BC11","poor",0,0.58,0.514,0.111
"20","A0A2R8Y4L2","P07910","HNRNPA1L3","HNRNPC","poor",0,1,1,1
"21","A0A2R8Y4L2","P22626","HNRNPA1L3","HNRNPA2B1","rich",0,1,1,1
"22","A0A2R8Y4L2","P23246","HNRNPA1L3","SFPQ","poor",0,0.58,0.741,0.92
"23","A0A2R8Y4L2","P37802","HNRNPA1L3","TAGLN2","poor",0,0.302,0.269,0.064
"24","A0A2R8Y4L2","P42677","HNRNPA1L3","RPS27","poor",0,0.58,0.741,0.423
"25","A0A2R8Y4L2","P46013","HNRNPA1L3","MKI67","poor",0,0.58,0.741,0.149
"26","A0A2R8Y4L2","P57053","HNRNPA1L3","H2BC12L","poor",0,0.58,0.514,0.028
"27","A0A2R8Y4L2","P61978","HNRNPA1L3","HNRNPK","poor",0,1,0.848,1
"28","A0A2R8Y4L2","P62081","HNRNPA1L3","RPS7","poor",0,0.58,1,0.423
"29","A0A2R8Y4L2","P68431","HNRNPA1L3","H3C1","poor",0,0.58,0.514,0.392
"30","A0A2R8Y4L2","P84243","HNRNPA1L3","H3-3A","poor",0,0.58,0.293,0.065
"31","A0A2R8Y4L2","Q00839","HNRNPA1L3","HNRNPU","poor",0,1,1,1
"32","A0A2R8Y4L2","Q13185","HNRNPA1L3","CBX3","poor",0,0.58,0.269,0.215
"33","A0A2R8Y4L2","Q14103","HNRNPA1L3","HNRNPD","poor",0,0.58,0.849,0.71
"34","A0A2R8Y4L2","Q15181","HNRNPA1L3","PPA1","poor",0,0.292,0.111,0.178
"35","A0A2R8Y4L2","Q15233","HNRNPA1L3","NONO","poor",0,0.58,0.741,0.801
"36","A0A2R8Y4L2","Q16695","HNRNPA1L3","H3-4","poor",0,0.58,0.514,0.068
"37","A0A2R8Y4L2","Q5TEC6","HNRNPA1L3","H3-7","poor",0,0.58,0.514,0
"38","A0A2R8Y4L2","Q6NXT2","HNRNPA1L3","H3-5","poor",0,0.58,0.293,0.065
"39","A0A2R8Y4L2","Q6Y7W6","HNRNPA1L3","GIGYF2","poor",0,0.409,0.741,0.205
"40","A0A2R8Y4L2","Q71DI3","HNRNPA1L3","H3C15","poor",0,0.58,0.514,0.068
"41","A0A2R8Y4L2","Q71RC2","HNRNPA1L3","LARP4","poor",0,0.3,1,0.26
"42","A0A2R8Y4L2","Q96HP0","HNRNPA1L3","DOCK6","poor",0,0.252,0.269,0.063
"43","A0A2R8Y4L2","Q9BY77","HNRNPA1L3","POLDIP3","poor",0,0.58,0.848,0.151
"44","A0A2R8Y619","O00479","H2BK1","HMGN4","rich",0,0.866,0.517,0
"45","A0A2R8Y619","O15347","H2BK1","HMGB3","rich",0,0.739,0.689,0
"46","A0A2R8Y619","O60264","H2BK1","SMARCA5","poor",0,0.612,0.372,0
"47","A0A2R8Y619","O60814","H2BK1","H2BC12","poor",0,0.754,0.891,0
"48","A0A2R8Y619","O75367","H2BK1","MACROH2A1","rich",0,0.671,0.653,0
"49","A0A2R8Y619","O75475","H2BK1","PSIP1","rich",0,0.715,0.619,0
"50","A0A2R8Y619","P02545","H2BK1","LMNA","poor",0,0.65,0.545,0
"51","A0A2R8Y619","P04908","H2BK1","H2AC4","poor",0,0.848,0.908,0
"52","A0A2R8Y619","P05114","H2BK1","HMGN1","poor",0,0.76,0.643,0
"53","A0A2R8Y619","P05204","H2BK1","HMGN2","rich",0,0.683,0.555,0
"54","A0A2R8Y619","P06899","H2BK1","H2BC11","poor",0,0.693,0.862,0
"55","A0A2R8Y619","P09429","H2BK1","HMGB1","rich",0,0.48,0.491,0
"56","A0A2R8Y619","P09874","H2BK1","PARP1","poor",0,0.589,0.317,0
